algo	pivot	neighborhood	init	instance	size	final_cost	rpd	time_sec
II	first	transpose	random	N-tiw56r66_150	150	1250215	35.580998	1.4e-05
II	first	transpose	random	N-tiw56r66_250	250	3360563	32.088079	3e-05
II	first	transpose	random	N-tiw56r67_150	150	1302211	36.673577	1.8e-05
II	first	transpose	random	N-tiw56r67_250	250	3469771	34.404625	3.5e-05
II	first	transpose	random	N-tiw56r72_150	150	1829418	35.213358	1.3e-05
II	first	transpose	random	N-tiw56r72_250	250	5184394	30.425565	3.1e-05
II	first	transpose	cw	N-be75eec_150	150	2786711	19.987120	0.001032
II	first	transpose	cw	N-be75eec_250	250	7337320	17.498254	0.00436
II	first	transpose	cw	N-be75np_150	150	6075834	15.311420	0.001048
II	first	transpose	cw	N-be75np_250	250	14807199	16.879201	0.004437
II	first	transpose	cw	N-be75oi_150	150	1934185	13.903595	0.000992
II	first	transpose	cw	N-be75oi_250	250	5032895	14.842415	0.004265
II	first	transpose	cw	N-be75tot_150	150	9915444	19.305986	0.001045
II	first	transpose	cw	N-be75tot_250	250	25718967	16.924669	0.004496
II	first	transpose	cw	N-stabu1_150	150	2371937	17.518844	0.000992
II	first	transpose	cw	N-stabu1_250	250	6540270	15.527061	0.004276
II	first	transpose	cw	N-stabu2_150	150	3507155	18.957269	0.000989
II	first	transpose	cw	N-stabu2_250	250	9628765	16.274870	0.004502
II	first	transpose	cw	N-stabu3_150	150	3677434	18.468488	0.000993
II	first	transpose	cw	N-stabu3_250	250	9911132	16.715381	0.004464
II	first	transpose	cw	N-t59b11xx_150	150	2585050	20.203423	0.001027
II	first	transpose	cw	N-t59b11xx_250	250	6959720	17.263499	0.004407
II	first	transpose	cw	N-t59d11xx_150	150	1171043	19.939468	0.001087
II	first	transpose	cw	N-t59d11xx_250	250	3256840	15.212226	0.004484
II	first	transpose	cw	N-t59f11xx_150	150	1252527	18.863754	0.001038
II	first	transpose	cw	N-t59f11xx_250	250	3325423	16.718808	0.004451
II	first	transpose	cw	N-t59n11xx_150	150	254275	20.279972	0.001065
II	first	transpose	cw	N-t59n11xx_250	250	680399	17.588129	0.004337
II	first	transpose	cw	N-t65b11xx_150	150	5326421	17.468913	0.000999
II	first	transpose	cw	N-t65b11xx_250	250	14519074	15.948377	0.004443
II	first	transpose	cw	N-t65d11xx_150	150	2965298	16.689831	0.001064
II	first	transpose	cw	N-t65d11xx_250	250	7951098	14.976941	0.004443
II	first	transpose	cw	N-t65f11xx_150	150	2591648	17.968326	0.001027
II	first	transpose	cw	N-t65f11xx_250	250	7009245	16.651535	0.004424
II	first	transpose	cw	N-t65l11xx_150	150	216735	14.467868	0.001046
II	first	transpose	cw	N-t65l11xx_250	250	552918	17.010930	0.004414
II	first	transpose	cw	N-t65n11xx_150	150	444364	19.314078	0.001
II	first	transpose	cw	N-t65n11xx_250	250	1186552	16.987299	0.004429
II	first	transpose	cw	N-t69r11xx_150	150	9432628	20.439759	0.00098
II	first	transpose	cw	N-t69r11xx_250	250	26088649	18.001292	0.00459
II	first	transpose	cw	N-t70b11xx_150	150	7886107	18.255211	0.000994
II	first	transpose	cw	N-t70b11xx_250	250	21299721	16.152882	0.004497
II	first	transpose	cw	N-t70d11xn_150	150	4867683	16.436735	0.001024
II	first	transpose	cw	N-t70d11xn_250	250	12899021	15.177434	0.004405
II	first	transpose	cw	N-t70d11xx_150	150	5093969	17.495592	0.001079
II	first	transpose	cw	N-t70d11xx_250	250	13472808	16.007943	0.004587
II	first	transpose	cw	N-t70f11xx_150	150	4197416	18.498312	0.000991
