algo	pivot	neighborhood	init	instance	size	final_cost	rpd	time_sec
II	first	insert	random	N-tiw56n58_250	250	2835630	2.443598	4.89287
II	first	insert	random	N-tiw56n62_150	150	1589455	2.302878	0.429751
II	first	insert	random	N-tiw56n62_250	250	4072095	1.705391	5.57425
II	first	insert	random	N-tiw56n66_150	150	2062717	2.130461	0.356328
II	first	insert	random	N-tiw56n66_250	250	5283428	1.619543	5.39161
II	first	insert	random	N-tiw56n67_150	150	2330322	1.795421	0.365504
II	first	insert	random	N-tiw56n67_250	250	6215871	1.723153	5.21032
II	first	insert	random	N-tiw56n72_150	150	4023623	2.714858	0.387862
II	first	insert	random	N-tiw56n72_250	250	10936447	1.912687	4.51414
II	first	insert	random	N-tiw56r54_150	150	937027	2.208847	0.389445
II	first	insert	random	N-tiw56r54_250	250	2331852	2.324629	5.25557
II	first	insert	random	N-tiw56r58_150	150	1195992	1.911186	0.381037
II	first	insert	random	N-tiw56r58_250	250	2999686	1.981392	5.05092
II	first	insert	random	N-tiw56r66_150	150	1895325	2.340842	0.41109
II	first	insert	random	N-tiw56r66_250	250	4841250	2.165623	5.29985
II	first	insert	random	N-tiw56r67_150	150	2032630	1.153356	0.411072
II	first	insert	random	N-tiw56r67_250	250	5156405	2.519123	5.18425
II	first	insert	random	N-tiw56r72_150	150	2746807	2.725127	0.384554
II	first	insert	random	N-tiw56r72_250	250	7331613	1.609941	5.53682
II	first	insert	cw	N-be75eec_150	150	3431531	1.472855	0.236589
II	first	insert	cw	N-be75eec_250	250	8753894	1.570118	3.44358
II	first	insert	cw	N-be75np_150	150	7016717	2.196834	0.252015
II	first	insert	cw	N-be75np_250	250	17455033	2.015480	3.04218
II	first	insert	cw	N-be75oi_150	150	2223030	1.046234	0.226379
II	first	insert	cw	N-be75oi_250	250	5811956	1.660548	3.16814
II	first	insert	cw	N-be75tot_150	150	12029108	2.104534	0.270157
II	first	insert	cw	N-be75tot_250	250	30315734	2.076563	3.55061
II	first	insert	cw	N-stabu1_150	150	2829430	1.610094	0.295271
II	first	insert	cw	N-stabu1_250	250	7596054	1.890747	4.0071
II	first	insert	cw	N-stabu2_150	150	4255714	1.659697	0.29078
II	first	insert	cw	N-stabu2_250	250	11262894	2.065606	3.56466
II	first	insert	cw	N-stabu3_150	150	4413988	2.138525	0.235031
II	first	insert	cw	N-stabu3_250	250	11603474	2.494396	3.66955
II	first	insert	cw	N-t59b11xx_150	150	3184855	1.688352	0.190394
II	first	insert	cw	N-t59b11xx_250	250	8239265	2.052388	2.58476
II	first	insert	cw	N-t59d11xx_150	150	1441646	1.439191	0.231301
II	first	insert	cw	N-t59d11xx_250	250	3762182	2.056276	2.71426
II	first	insert	cw	N-t59f11xx_150	150	1504730	2.526538	0.161703
II	first	insert	cw	N-t59f11xx_250	250	3906930	2.155669	2.48585
II	first	insert	cw	N-t59n11xx_150	150	312709	1.959807	0.210227
II	first	insert	cw	N-t59n11xx_250	250	806125	2.359837	2.71555
II	first	insert	cw	N-t65b11xx_150	150	6365257	1.372502	0.284311
II	first	insert	cw	N-t65b11xx_250	250	16852056	2.442631	3.26415
II	first	insert	cw	N-t65d11xx_150	150	3469910	2.512736	0.275867
II	first	insert	cw	N-t65d11xx_250	250	9146112	2.198361	3.02285
II	first	insert	cw	N-t65f11xx_150	150	3091448	2.148496	0.235299
II	first	insert	cw	N-t65f11xx_250	250	8260731	1.769841	3.49259
II	first	insert	cw	N-t65l11xx_150	150	250147	1.282183	0.144428
II	first	insert	cw	N-t65l11xx_250	250	651572	2.203664	1.78033
II	first	insert	cw	N-t65n11xx_150	150	539958	1.956483	0.21837
II	first	insert	cw	N-t65n11xx_250	250	1397345	2.239950	2.99363
II	first	insert	cw	N-t69r11xx_150	150	11584592	2.288849	0.261786
II	first	insert	cw	N-t69r11xx_250	250	30952280	2.714512	3.51139
II	first	insert	cw	N-t70b11xx_150	150	9481727	1.715539	0.250487
II	first	insert	cw	N-t70b11xx_250	250	24909502	1.942850	3.42402
II	first	insert	cw	N-t70d11xn_150	150	5722263	1.766204	0.289618
II	first	insert	cw	N-t70d11xn_250	250	14922758	1.869559	3.5662
II	first	insert	cw	N-t70d11xx_150	150	6040680	2.162199	0.319111
II	first	insert	cw	N-t70d11xx_250	250	15668199	2.321457	4.09773
II	first	insert	cw	N-t70f11xx_150	150	5021685	2.493390	0.278183
II	first	insert	cw	N-t70f11xx_250	250	13261162	2.391946	3.84906
II	first	insert	cw	N-t70l11xx_150	150	425493	2.602424	0.136197
II	first	insert	cw	N-t70l11xx_250	250	1087359	2.315008	2.04365
II	first	insert	cw	N-t70n11xx_150	150	935842	1.377471	0.25554
II	first	insert	cw	N-t70n11xx_250	250	2368384	3.109406	3.27697
II	first	insert	cw	N-t74d11xx_150	150	9206044	2.022128	0.209831
II	first	insert	cw	N-t74d11xx_250	250	23919050	2.092488	3.36002
II	first	insert	cw	N-t75d11xx_150	150	9504936	1.422962	0.321956
II	first	insert	cw	N-t75d11xx_250	250	24535938	1.923172	3.85432
II	first	insert	cw	N-t75e11xx_150	150	40664575	2.178527	0.327713
II	first	insert	cw	N-t75e11xx_250	250	104337379	2.373357	3.99365
II	first	insert	cw	N-t75k11xx_150	150	1518005	1.530297	0.222253
II	first	insert	cw	N-t75k11xx_250	250	4036258	1.406769	3.01981
II	first	insert	cw	N-t75n11xx_150	150	1708706	1.972814	0.272708
II	first	insert	cw	N-t75n11xx_250	250	4400504	2.750046	3.02237
II	first	insert	cw	N-tiw56n54_150	150	822898	1.795703	0.228174
II	first	insert	cw	N-tiw56n54_250	250	2063239	1.690883	3.40796
II	first	insert	cw	N-tiw56n58_150	150	1130296	2.172077	0.220082
II	first	insert	cw	N-tiw56n58_250	250	2856559	1.723561	3.23775
II	first	insert	cw	N-tiw56n62_150	150	1587808	2.404112	0.183074
II	first	insert	cw	N-tiw56n62_250	250	4067847	1.807932	3.10863
II	first	insert	cw	N-tiw56n66_150	150	2060991	2.212354	0.220298
II	first	insert	cw	N-tiw56n66_250	250	5253562	2.175665	3.59544
II	first	insert	cw	N-tiw56n67_150	150	2308001	2.736074	0.224444
II	first	insert	cw	N-tiw56n67_250	250	6218639	1.679389	3.40418
II	first	insert	cw	N-tiw56n72_150	150	4068537	1.628905	0.279013
II	first	insert	cw	N-tiw56n72_250	250	10996097	1.377696	3.76755
II	first	insert	cw	N-tiw56r54_150	150	943504	1.532887	0.219431
II	first	insert	cw	N-tiw56r54_250	250	2336229	2.141287	3.46881
II	first	insert	cw	N-tiw56r58_150	150	1193581	2.108924	0.242191
II	first	insert	cw	N-tiw56r58_250	250	2999376	1.991522	3.71536
II	first	insert	cw	N-tiw56r66_150	150	1889917	2.619496	0.224803
II	first	insert	cw	N-tiw56r66_250	250	4845527	2.079191	3.41891
II	first	insert	cw	N-tiw56r67_150	150	2020973	1.720235	0.303703
II	first	insert	cw	N-tiw56r67_250	250	5202712	1.643698	3.82431
II	first	insert	cw	N-tiw56r72_150	150	2739782	2.973909	0.259438
II	first	insert	cw	N-tiw56r72_250	250	7305792	1.956458	3.85709
II	best	transpose	random	N-be75eec_150	150	2116936	39.217900	1.8e-05
II	best	transpose	random	N-be75eec_250	250	5665677	36.294418	3.6e-05
II	best	transpose	random	N-be75np_150	150	4807943	32.984037	1.6e-05
II	best	transpose	random	N-be75np_250	250	11849453	33.482625	3.9e-05
II	best	transpose	random	N-be75oi_150	150	1494457	33.477214	1.4e-05
II	best	transpose	random	N-be75oi_250	250	2974767	49.666351	3.8e-05
II	best	transpose	random	N-be75tot_150	150	7759919	36.848112	1.9e-05
II	best	transpose	random	N-be75tot_250	250	20495488	33.797129	4.3e-05
II	best	transpose	random	N-stabu1_150	150	1836079	36.152639	2.2e-05
II	best	transpose	random	N-stabu1_250	250	4871705	37.077943	4.6e-05
II	best	transpose	random	N-stabu2_150	150	2730307	36.908538	1.7e-05
II	best	transpose	random	N-stabu2_250	250	8105175	29.522963	4.3e-05
II	best	transpose	random	N-stabu3_150	150	2647243	41.308607	1.9e-05
II	best	transpose	random	N-stabu3_250	250	7592894	36.195857	4.5e-05
II	best	transpose	random	N-t59b11xx_150	150	2197385	32.170054	1.2e-05
II	best	transpose	random	N-t59b11xx_250	250	5591855	33.524550	2.7e-05
II	best	transpose	random	N-t59d11xx_150	150	945637	35.349768	1.7e-05
II	best	transpose	random	N-t59d11xx_250	250	2685286	30.091923	3.2e-05
II	best	transpose	random	N-t59f11xx_150	150	1020804	33.874316	1.5e-05
II	best	transpose	random	N-t59f11xx_250	250	2812452	29.565545	3.5e-05
II	best	transpose	random	N-t59n11xx_150	150	202344	36.561324	1.5e-05
II	best	transpose	random	N-t59n11xx_250	250	551318	33.222789	3.4e-05
II	best	transpose	random	N-t65b11xx_150	150	4336920	32.800895	1.8e-05
II	best	transpose	random	N-t65b11xx_250	250	11094873	35.771243	3.8e-05
II	best	transpose	random	N-t65d11xx_150	150	2398550	32.612639	1.9e-05
II	best	transpose	random	N-t65d11xx_250	250	6318920	32.430224	3.9e-05
II	best	transpose	random	N-t65f11xx_150	150	2144084	32.134765	1.5e-05
II	best	transpose	random	N-t65f11xx_250	250	5797863	31.056343	4.9e-05
II	best	transpose	random	N-t65l11xx_150	150	128369	49.340558	1.2e-05
II	best	transpose	random	N-t65l11xx_250	250	396207	40.532139	2.2e-05
II	best	transpose	random	N-t65n11xx_150	150	346166	37.144497	2.1e-05
II	best	transpose	random	N-t65n11xx_250	250	955134	33.177600	3.6e-05
II	best	transpose	random	N-t69r11xx_150	150	7609678	35.815574	1.5e-05
II	best	transpose	random	N-t69r11xx_250	250	21165097	33.476409	3.7e-05
II	best	transpose	random	N-t70b11xx_150	150	6107362	36.693096	1.4e-05
II	best	transpose	random	N-t70b11xx_250	250	16847159	33.680553	4.1e-05
II	best	transpose	random	N-t70d11xn_150	150	3608272	38.056980	1.9e-05
II	best	transpose	random	N-t70d11xn_250	250	10690780	29.698588	5.2e-05
II	best	transpose	random	N-t70d11xx_150	150	4258714	31.023790	2.1e-05
II	best	transpose	random	N-t70d11xx_250	250	11066730	31.007893	4.5e-05
II	best	transpose	random	N-t70f11xx_150	150	3248829	36.917130	1.8e-05
II	best	transpose	random	N-t70f11xx_250	250	9434609	30.557079	3.9e-05
II	best	transpose	random	N-t70l11xx_150	150	271234	37.913117	1.2e-05
II	best	transpose	random	N-t70l11xx_250	250	670421	39.771437	2.4e-05
II	best	transpose	random	N-t70n11xx_150	150	594016	37.400373	1.6e-05
II	best	transpose	random	N-t70n11xx_250	250	1663338	31.952839	4.6e-05
II	best	transpose	random	N-t74d11xx_150	150	6315715	32.783254	2.2e-05
II	best	transpose	random	N-t74d11xx_250	250	16804434	31.214646	4e-05
II	best	transpose	random	N-t75d11xx_150	150	6140219	36.318919	2e-05
II	best	transpose	random	N-t75d11xx_250	250	17673167	29.355537	4.7e-05
II	best	transpose	random	N-t75e11xx_150	150	26969136	35.123861	1.9e-05
II	best	transpose	random	N-t75e11xx_250	250	74221068	30.552658	4e-05
II	best	transpose	random	N-t75k11xx_150	150	1004913	34.813466	2e-05
II	best	transpose	random	N-t75k11xx_250	250	2834368	30.765204	3.7e-05
II	best	transpose	random	N-t75n11xx_150	150	1081998	37.926583	1.9e-05
II	best	transpose	random	N-t75n11xx_250	250	2980519	34.131333	3.8e-05
II	best	transpose	random	N-tiw56n54_150	150	575431	31.328309	1.8e-05
II	best	transpose	random	N-tiw56n54_250	250	1447913	31.009908	4.8e-05
II	best	transpose	random	N-tiw56n58_150	150	713691	38.229536	2.2e-05
II	best	transpose	random	N-tiw56n58_250	250	2003441	31.074048	3.7e-05
II	best	transpose	random	N-tiw56n62_150	150	1052978	35.277865	1.8e-05
II	best	transpose	random	N-tiw56n62_250	250	2791042	32.628197	4.6e-05
II	best	transpose	random	N-tiw56n66_150	150	1340279	36.407909	1.8e-05
II	best	transpose	random	N-tiw56n66_250	250	3678745	31.499660	4.4e-05
II	best	transpose	random	N-tiw56n67_150	150	1604879	32.367086	1.6e-05
II	best	transpose	random	N-tiw56n67_250	250	4242752	32.919411	4.1e-05
II	best	transpose	random	N-tiw56n72_150	150	2503278	39.474509	1.7e-05
II	best	transpose	random	N-tiw56n72_250	250	7461125	33.082316	4.7e-05
II	best	transpose	random	N-tiw56r54_150	150	632879	33.950711	1.8e-05
II	best	transpose	random	N-tiw56r54_250	250	1646792	31.020056	3.9e-05
II	best	transpose	random	N-tiw56r58_150	150	803090	34.134889	1.8e-05
II	best	transpose	random	N-tiw56r58_250	250	2184686	28.612568	4.1e-05
II	best	transpose	random	N-tiw56r66_150	150	1251464	35.516642	2e-05
II	best	transpose	random	N-tiw56r66_250	250	3371919	31.858591	4.8e-05
II	best	transpose	random	N-tiw56r67_150	150	1311015	36.245439	1.8e-05
II	best	transpose	random	N-tiw56r67_250	250	3469693	34.406100	4.7e-05
II	best	transpose	random	N-tiw56r72_150	150	1804294	36.103094	2.5e-05
II	best	transpose	random	N-tiw56r72_250	250	5195365	30.278334	4.4e-05
II	best	transpose	cw	N-be75eec_150	150	2786657	19.988670	0.001085
II	best	transpose	cw	N-be75eec_250	250	7338353	17.486639	0.004706
II	best	transpose	cw	N-be75np_150	150	6077131	15.293341	0.001079
II	best	transpose	cw	N-be75np_250	250	14806974	16.880464	0.00469
II	best	transpose	cw	N-be75oi_150	150	1935299	13.854008	0.001089
II	best	transpose	cw	N-be75oi_250	250	5032673	14.846172	0.004643
II	best	transpose	cw	N-be75tot_150	150	9917729	19.287390	0.001105
II	best	transpose	cw	N-be75tot_250	250	25719647	16.922472	0.004701
II	best	transpose	cw	N-stabu1_150	150	2375701	17.387955	0.001087
II	best	transpose	cw	N-stabu1_250	250	6542171	15.502508	0.004651
II	best	transpose	cw	N-stabu2_150	150	3505706	18.990752	0.001075
II	best	transpose	cw	N-stabu2_250	250	9631344	16.252445	0.004613
II	best	transpose	cw	N-stabu3_150	150	3677376	18.469774	0.001071
II	best	transpose	cw	N-stabu3_250	250	9911575	16.711658	0.004677
II	best	transpose	cw	N-t59b11xx_150	150	2585170	20.199719	0.001086
II	best	transpose	cw	N-t59b11xx_250	250	6960005	17.260111	0.004651
II	best	transpose	cw	N-t59d11xx_150	150	1170919	19.947945	0.001058
II	best	transpose	cw	N-t59d11xx_250	250	3257523	15.194445	0.004662
II	best	transpose	cw	N-t59f11xx_150	150	1252486	18.866410	0.001059
II	best	transpose	cw	N-t59f11xx_250	250	3326323	16.696268	0.004761
II	best	transpose	cw	N-t59n11xx_150	150	254280	20.278405	0.001096
II	best	transpose	cw	N-t59n11xx_250	250	680402	17.587766	0.004688
II	best	transpose	cw	N-t65b11xx_150	150	5325478	17.483525	0.001071
II	best	transpose	cw	N-t65b11xx_250	250	14518427	15.952122	0.004681
II	best	transpose	cw	N-t65d11xx_150	150	2964403	16.714976	0.001093
II	best	transpose	cw	N-t65d11xx_250	250	7946678	15.024205	0.004792
II	best	transpose	cw	N-t65f11xx_150	150	2592771	17.932781	0.001075
II	best	transpose	cw	N-t65f11xx_250	250	7007792	16.668813	0.004733
II	best	transpose	cw	N-t65l11xx_150	150	216735	14.467868	0.00111
II	best	transpose	cw	N-t65l11xx_250	250	552918	17.010930	0.004779
II	best	transpose	cw	N-t65n11xx_150	150	444349	19.316801	0.001085
II	best	transpose	cw	N-t65n11xx_250	250	1186522	16.989398	0.004699
II	best	transpose	cw	N-t69r11xx_150	150	9432361	20.442011	0.001079
II	best	transpose	cw	N-t69r11xx_250	250	26091834	17.991282	0.004805
II	best	transpose	cw	N-t70b11xx_150	150	7884701	18.269785	0.00107
II	best	transpose	cw	N-t70b11xx_250	250	21304756	16.133062	0.004734
II	best	transpose	cw	N-t70d11xn_150	150	4866760	16.452581	0.00108
II	best	transpose	cw	N-t70d11xn_250	250	12900586	15.167143	0.004726
II	best	transpose	cw	N-t70d11xx_150	150	5090895	17.545380	0.001097
II	best	transpose	cw	N-t70d11xx_250	250	13469473	16.028734	0.005031
II	best	transpose	cw	N-t70f11xx_150	150	4199219	18.463303	0.001067
II	best	transpose	cw	N-t70f11xx_250	250	11397298	16.110814	0.004694
II	best	transpose	cw	N-t70l11xx_150	150	350524	19.763220	0.00108
II	best	transpose	cw	N-t70l11xx_250	250	899723	19.171650	0.004778
II	best	transpose	cw	N-t70n11xx_150	150	755832	20.347598	0.001073
II	best	transpose	cw	N-t70n11xx_250	250	2011323	17.716772	0.004666
II	best	transpose	cw	N-t74d11xx_150	150	7810579	16.873750	0.001103
II	best	transpose	cw	N-t74d11xx_250	250	20273075	17.016506	0.004808
II	best	transpose	cw	N-t75d11xx_150	150	7925523	17.803278	0.00109
II	best	transpose	cw	N-t75d11xx_250	250	21038902	15.901777	0.004668
II	best	transpose	cw	N-t75e11xx_150	150	33480593	19.460097	0.001123
II	best	transpose	cw	N-t75e11xx_250	250	89058614	16.669428	0.0047
II	best	transpose	cw	N-t75k11xx_150	150	1232093	20.076791	0.001067
II	best	transpose	cw	N-t75k11xx_250	250	3462392	15.424531	0.004626
II	best	transpose	cw	N-t75n11xx_150	150	1391401	20.176365	0.001091
II	best	transpose	cw	N-t75n11xx_250	250	3798975	16.043675	0.00463
II	best	transpose	cw	N-tiw56n54_150	150	697468	16.764465	0.001057
II	best	transpose	cw	N-tiw56n54_250	250	1769667	15.678988	0.004648
II	best	transpose	cw	N-tiw56n58_150	150	956975	17.173133	0.001054
II	best	transpose	cw	N-tiw56n58_250	250	2460020	15.366003	0.004627
II	best	transpose	cw	N-tiw56n62_150	150	1358203	16.516967	0.001067
II	best	transpose	cw	N-tiw56n62_250	250	3486859	15.832160	0.004734
II	best	transpose	cw	N-tiw56n66_150	150	1742539	17.321916	0.001083
II	best	transpose	cw	N-tiw56n66_250	250	4521109	15.814360	0.004691
II	best	transpose	cw	N-tiw56n67_150	150	2022327	14.774966	0.001089
II	best	transpose	cw	N-tiw56n67_250	250	5288322	16.388289	0.00473
II	best	transpose	cw	N-tiw56n72_150	150	3502301	15.319638	0.001111
II	best	transpose	cw	N-tiw56n72_250	250	9432362	15.402594	0.004748
II	best	transpose	cw	N-tiw56r54_150	150	802699	16.227750	0.001097
II	best	transpose	cw	N-tiw56r54_250	250	2000009	16.224691	0.004789
II	best	transpose	cw	N-tiw56r58_150	150	1008396	17.296799	0.001091
II	best	transpose	cw	N-tiw56r58_250	250	2582642	15.608843	0.004752
II	best	transpose	cw	N-tiw56r66_150	150	1612635	16.906822	0.001068
II	best	transpose	cw	N-tiw56r66_250	250	4135197	16.433892	0.004672
II	best	transpose	cw	N-tiw56r67_150	150	1726434	16.043644	0.00108
II	best	transpose	cw	N-tiw56r67_250	250	4424654	16.352740	0.004798
II	best	transpose	cw	N-tiw56r72_150	150	2361394	16.374066	0.001072
II	best	transpose	cw	N-tiw56r72_250	250	6276604	15.768135	0.00469
II	best	exchange	random	N-be75eec_150	150	3370646	3.221003	0.059411
II	best	exchange	random	N-be75eec_250	250	8589659	3.416797	0.879654
II	best	exchange	random	N-be75np_150	150	6937823	3.296505	0.068729
II	best	exchange	random	N-be75np_250	250	17120472	3.893551	0.945305
II	best	exchange	random	N-be75oi_150	150	2206582	1.778384	0.087655
II	best	exchange	random	N-be75oi_250	250	5743334	2.821646	0.828336
II	best	exchange	random	N-be75tot_150	150	11788049	4.066324	0.06408
II	best	exchange	random	N-be75tot_250	250	29877673	3.491552	0.833662
II	best	exchange	random	N-stabu1_150	150	2769345	3.699475	0.066387
II	best	exchange	random	N-stabu1_250	250	7529820	2.746213	0.965531
II	best	exchange	random	N-stabu2_150	150	4231238	2.225284	0.084515
II	best	exchange	random	N-stabu2_250	250	11086653	3.598077	0.849579
II	best	exchange	random	N-stabu3_150	150	4350861	3.538099	0.063241
II	best	exchange	random	N-stabu3_250	250	11549906	2.944536	0.901703
II	best	exchange	random	N-t59b11xx_150	150	3127495	3.458968	0.058763
II	best	exchange	random	N-t59b11xx_250	250	8109395	3.596270	0.82949
II	best	exchange	random	N-t59d11xx_150	150	1408677	3.693178	0.063473
II	best	exchange	random	N-t59d11xx_250	250	3714911	3.286918	0.957429
II	best	exchange	random	N-t59f11xx_150	150	1490221	3.466403	0.11578
II	best	exchange	random	N-t59f11xx_250	250	3858154	3.377205	0.776735
II	best	exchange	random	N-t59n11xx_150	150	309362	3.009155	0.07731
II	best	exchange	random	N-t59n11xx_250	250	790131	4.297076	0.711235
II	best	exchange	random	N-t65b11xx_150	150	6155506	4.622522	0.072025
II	best	exchange	random	N-t65b11xx_250	250	16567664	4.088990	0.795932
II	best	exchange	random	N-t65d11xx_150	150	3436373	3.454960	0.072212
II	best	exchange	random	N-t65d11xx_250	250	8968092	4.101973	0.798608
II	best	exchange	random	N-t65f11xx_150	150	3053624	3.345714	0.063345
II	best	exchange	random	N-t65f11xx_250	250	8104673	3.625561	0.863648
II	best	exchange	random	N-t65l11xx_150	150	247080	2.492541	0.062106
II	best	exchange	random	N-t65l11xx_250	250	642843	3.513825	0.670935
II	best	exchange	random	N-t65n11xx_150	150	531415	3.507689	0.060003
II	best	exchange	random	N-t65n11xx_250	250	1373112	3.935322	0.866564
II	best	exchange	random	N-t69r11xx_150	150	11418554	3.689310	0.070213
II	best	exchange	random	N-t69r11xx_250	250	30474224	4.217080	0.82405
II	best	exchange	random	N-t70b11xx_150	150	9287815	3.725567	0.062538
II	best	exchange	random	N-t70b11xx_250	250	24549727	3.359117	0.890279
II	best	exchange	random	N-t70d11xn_150	150	5581792	4.177663	0.079471
II	best	exchange	random	N-t70d11xn_250	250	14630692	3.790153	0.930814
II	best	exchange	random	N-t70d11xx_150	150	5913842	4.216529	0.072524
II	best	exchange	random	N-t70d11xx_250	250	15410487	3.928083	1.04642
II	best	exchange	random	N-t70f11xx_150	150	4932812	4.219047	0.06389
II	best	exchange	random	N-t70f11xx_250	250	13023711	4.139691	0.692497
II	best	exchange	random	N-t70l11xx_150	150	419713	3.925496	0.054838
II	best	exchange	random	N-t70l11xx_250	250	1074060	3.509749	0.781867
II	best	exchange	random	N-t70n11xx_150	150	910062	4.094264	0.067465
II	best	exchange	random	N-t70n11xx_250	250	2348357	3.928710	0.88442
II	best	exchange	random	N-t74d11xx_150	150	9024253	3.956889	0.07239
II	best	exchange	random	N-t74d11xx_250	250	23637725	3.244031	0.789833
II	best	exchange	random	N-t75d11xx_150	150	9232902	4.244265	0.077092
II	best	exchange	random	N-t75d11xx_250	250	24259091	3.029805	0.845619
II	best	exchange	random	N-t75e11xx_150	150	40126202	3.473621	0.077126
II	best	exchange	random	N-t75e11xx_250	250	102647081	3.954939	0.746887
II	best	exchange	random	N-t75k11xx_150	150	1483168	3.790098	0.065534
II	best	exchange	random	N-t75k11xx_250	250	3925608	4.109604	0.905686
II	best	exchange	random	N-t75n11xx_150	150	1663955	4.540145	0.072453
II	best	exchange	random	N-t75n11xx_250	250	4378591	3.234318	0.782811
II	best	exchange	random	N-tiw56n54_150	150	810031	3.331245	0.073197
II	best	exchange	random	N-tiw56n54_250	250	2028934	3.325446	0.880484
II	best	exchange	random	N-tiw56n58_150	150	1105327	4.333161	0.066841
II	best	exchange	random	N-tiw56n58_250	250	2788200	4.075369	0.680803
II	best	exchange	random	N-tiw56n62_150	150	1571950	3.378836	0.074971
II	best	exchange	random	N-tiw56n62_250	250	4004644	3.333563	0.976008
II	best	exchange	random	N-tiw56n66_150	150	2030649	3.651988	0.072793
II	best	exchange	random	N-tiw56n66_250	250	5192693	3.309081	0.845071
II	best	exchange	random	N-tiw56n67_150	150	2288613	3.553124	0.070038
II	best	exchange	random	N-tiw56n67_250	250	6130215	3.077429	0.932139
II	best	exchange	random	N-tiw56n72_150	150	3982943	3.698439	0.067087
II	best	exchange	random	N-tiw56n72_250	250	10805211	3.089723	0.767817
II	best	exchange	random	N-tiw56r54_150	150	916284	4.373654	0.064248
II	best	exchange	random	N-tiw56r54_250	250	2305115	3.444574	0.832597
II	best	exchange	random	N-tiw56r58_150	150	1171784	3.896596	0.069935
II	best	exchange	random	N-tiw56r58_250	250	2956496	3.392681	0.803867
II	best	exchange	random	N-tiw56r66_150	150	1870800	3.604525	0.070221
II	best	exchange	random	N-tiw56r66_250	250	4753431	3.940313	0.868303
II	best	exchange	random	N-tiw56r67_150	150	1994607	3.002412	0.068206
II	best	exchange	random	N-tiw56r67_250	250	5111533	3.367420	0.819319
II	best	exchange	random	N-tiw56r72_150	150	2710114	4.024566	0.057761
II	best	exchange	random	N-tiw56r72_250	250	7176154	3.696196	0.859576
II	best	exchange	cw	N-be75eec_150	150	3390494	2.651121	0.087726
II	best	exchange	cw	N-be75eec_250	250	8607191	3.219665	0.709147
II	best	exchange	cw	N-be75np_150	150	6823998	4.883066	0.064091
II	best	exchange	cw	N-be75np_250	250	17201161	3.440600	0.734603
II	best	exchange	cw	N-be75oi_150	150	2179239	2.995503	0.070676
II	best	exchange	cw	N-be75oi_250	250	5714912	3.302552	0.77364
II	best	exchange	cw	N-be75tot_150	150	11817331	3.828021	0.062036
II	best	exchange	cw	N-be75tot_250	250	29761329	3.867357	0.832362
II	best	exchange	cw	N-stabu1_150	150	2780189	3.322389	0.069099
II	best	exchange	cw	N-stabu1_250	250	7524450	2.815571	0.850502
II	best	exchange	cw	N-stabu2_150	150	4159195	3.890041	0.071604
II	best	exchange	cw	N-stabu2_250	250	11077273	3.679639	0.841438
II	best	exchange	cw	N-stabu3_150	150	4348236	3.596297	0.069528
II	best	exchange	cw	N-stabu3_250	250	11442051	3.850856	0.830507
II	best	exchange	cw	N-t59b11xx_150	150	3111280	3.959501	0.057911
II	best	exchange	cw	N-t59b11xx_250	250	8020060	4.658276	0.703048
II	best	exchange	cw	N-t59d11xx_150	150	1406762	3.824100	0.065168
II	best	exchange	cw	N-t59d11xx_250	250	3703788	3.576491	0.719244
II	best	exchange	cw	N-t59f11xx_150	150	1496990	3.027920	0.062446
II	best	exchange	cw	N-t59f11xx_250	250	3846266	3.674926	0.699308
II	best	exchange	cw	N-t59n11xx_150	150	307889	3.470968	0.056451
II	best	exchange	cw	N-t59n11xx_250	250	796018	3.584025	0.809082
II	best	exchange	cw	N-t65b11xx_150	150	6210781	3.766055	0.057853
II	best	exchange	cw	N-t65b11xx_250	250	16490415	4.536188	0.741247
II	best	exchange	cw	N-t65d11xx_150	150	3431712	3.585911	0.063655
II	best	exchange	cw	N-t65d11xx_250	250	9025739	3.485539	0.827403
II	best	exchange	cw	N-t65f11xx_150	150	3050161	3.455326	0.065908
II	best	exchange	cw	N-t65f11xx_250	250	8115881	3.492284	0.756616
II	best	exchange	cw	N-t65l11xx_150	150	246968	2.536741	0.054505
II	best	exchange	cw	N-t65l11xx_250	250	642658	3.541592	0.643193
II	best	exchange	cw	N-t65n11xx_150	150	521599	5.290041	0.066214
II	best	exchange	cw	N-t65n11xx_250	250	1358556	4.953679	0.686291
II	best	exchange	cw	N-t69r11xx_150	150	11433872	3.560109	0.082599
II	best	exchange	cw	N-t69r11xx_250	250	30441262	4.320682	0.788888
II	best	exchange	cw	N-t70b11xx_150	150	9333671	3.250239	0.0897
II	best	exchange	cw	N-t70b11xx_250	250	24406801	3.921750	0.857147
II	best	exchange	cw	N-t70d11xn_150	150	5597017	3.916296	0.073367
II	best	exchange	cw	N-t70d11xn_250	250	14742017	3.058092	0.862557
II	best	exchange	cw	N-t70d11xx_150	150	5954586	3.556619	0.060299
II	best	exchange	cw	N-t70d11xx_250	250	15477808	3.508391	0.795222
II	best	exchange	cw	N-t70f11xx_150	150	4928579	4.301239	0.064387
II	best	exchange	cw	N-t70f11xx_250	250	13023191	4.143518	0.771096
II	best	exchange	cw	N-t70l11xx_150	150	416905	4.568262	0.068696
II	best	exchange	cw	N-t70l11xx_250	250	1072740	3.628334	0.603419
II	best	exchange	cw	N-t70n11xx_150	150	915224	3.550273	0.072189
